mention_index,source_n,bibliography_entry,candidate_files,best_score,best_source_path,best_source_line,best_source_preview,context,verdict,reason
1,1,European Commission. Electricity market design. https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_01_1_3fd4348cc9.txt,0.5998,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_01_1_3fd4348cc9.txt,1,regions via the cooperation of power exchanges and transmission system operators to create a single larger integrated and more liquid marketplace it allows electricity to flow seamlessly across borders facilitating efficient resource allocation fostering competition reducing price discrepancies and enhancing grid stability and energy security on 30 september 2025 the eu's day-ahead electricity market moved from hourly to 15-minute trading intervals as envisaged in the electricity regulation eu 2,"Ринок на добу наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [1], [2]; NEURC, 2026 [3]; JSC Market Operator, 2026 [4]; Ministry of Economy of Ukraine, 2024 [5], [6]). Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live executi",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
2,2,European Commission. EU electricity trading in the day-ahead markets becomes more dynamic. https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_02_1_4ca667995a.txt,0.5934,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_02_1_4ca667995a.txt,1,goals by making it easier to integrate clean energy into daily electricity consumption background the transition from hourly to 15-minute trading in day-ahead and intraday markets is envisaged in the electricity regulation eu 2019 943 the implementation in the day-ahead markets has required significant adaptations to the functioning of the sdac and has been made possible thanks to the concerted efforts by eu nominated electricity market operators transmission system operators industry stakeholde,"Ринок на добу наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [1], [2]; NEURC, 2026 [3]; JSC Market Operator, 2026 [4]; Ministry of Economy of Ukraine, 2024 [5], [6]). Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live executi",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
3,3,"NEURC. Resolution No. 621 of 23 April 2026 on price caps for the day-ahead, intraday, and balancing markets. https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku",analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_03_1_f73dff7176.txt,0.6828,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_03_1_f73dff7176.txt,1,державне регулювання у сферах енергетики та комунальних послуг від 16 січня 2026 року 70 про граничні ціни на ринку на добу наперед внутрішньодобовому ринку та балансуючому ринку 3 ця постанова набирає чинності з 30 квітня 2026 року голова нкрекп юрій власенко часто шукають постанова від 26 березня 2022 352 про затвердження порядку тимчасового приєднання електроустановок до системи розподілу у період дії в україні воєнного стану постанова від 05 грудня 2023 2291 про затвердження типового договор," наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [1], [2]; NEURC, 2026 [3]; JSC Market Operator, 2026 [4]; Ministry of Economy of Ukraine, 2024 [5], [6]). Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al.",supported,strong multilingual semantic match in cited source candidate
4,4,JSC Market Operator. The Market Operator tariff for 2026 amounts to UAH 6.88 per MWh. https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_04_1_6a87e28324.txt,0.5412,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_04_1_6a87e28324.txt,1,electricity market and the regulatory legal acts of the national commission for state regulation of energy and public utilities taking into account the calculations submitted by jsc market operator tel 38 044 205-01-61 e-mail kanc oree com ua about us about us news leadership official documents information for shareholders and stakeholders anti corruption compliance gender policy social responsibility international quality standards gdpr compliance reporting public procurements principles of rem,"signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [1], [2]; NEURC, 2026 [3]; JSC Market Operator, 2026 [4]; Ministry of Economy of Ukraine, 2024 [5], [6]). Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [9]; Li et al., 2024 [10",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
5,5,Ministry of Economy of Ukraine. The Government approved the National Energy and Climate Plan until 2030. https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_05_1_43f6360713.txt,0.7383,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_05_1_43f6360713.txt,1,досягнення 27 частки відновлюваних джерел енергії у загальному кінцевому енергоспоживанні поглиблення диверсифікації джерел і шляхів постачання енергоресурсів не більше 30 від одного постачальника первинне споживання енергії не більше 72 224 млн т н е кінцеве споживання енергії 42 168 млн т н е т н е тонна нафтового еквівалента своєчасне ухвалення україною нпек є важливим кроком для забезпечення розуміння пріоритетів уряду в енергетичній та кліматичній політиці для громадян та стейкхолдерів в ук,"ланування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [1], [2]; NEURC, 2026 [3]; JSC Market Operator, 2026 [4]; Ministry of Economy of Ukraine, 2024 [5], [6]). Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [9]; Li et al., 2024 [10]).",supported,strong multilingual semantic match in cited source candidate
6,6,Ukraine National Energy and Climate Plan to 2030. https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_06_1_eb95fe3e7c.pdf,0.7816,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_06_1_eb95fe3e7c.pdf,1,basis law of ukraine on energy efficiency order of the ministry of infrastructure ofdecember 21 2023 no 1163 on approval of the methodologyfor the development of local energyplans registeredintheministryofjusticeonfebruary16 2024underno 245 41590 timeframes 2022-2030responsiblebodies organizations ministryofinfrastructure saee 222 description the law of ukraine on energy efficiency laid the foundations for the mandatoryimplementation of a local energy plan in accordance withthis lawof ukraine lg,"ання заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [1], [2]; NEURC, 2026 [3]; JSC Market Operator, 2026 [4]; Ministry of Economy of Ukraine, 2024 [5], [6]). Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [9]; Li et al., 2024 [10]).",supported,strong multilingual semantic match in cited source candidate
7,7,ENTSO-E. Continental Europe successful synchronization with Ukraine and Moldova power systems. https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_07_1_fa111d3fd6.txt,0.5046,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_07_1_fa111d3fd6.txt,1,16 march 2022 the trial synchronisation of the continental european power system with the power systems of ukraine and moldova this acceleration of the synchronisation project ongoing since 2017 has been possible thanks to the previous studies carried out and the adoption of risks mitigation measures continental europe tsos are now supporting the stability of the ukrainian-moldovan power system following a positive analysis which confirmed that an emergency synchronisation is technically feasibl,"n Commission, 2026 [1], [2]; NEURC, 2026 [3]; JSC Market Operator, 2026 [4]; Ministry of Economy of Ukraine, 2024 [5], [6]). Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [9]; Li et al., 2024 [10]).",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
8,8,ACER. ACER will decide on the electricity market coupling integration plan for the Energy Community. https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_08_1_8a2a2b888b.txt,0.4833,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_08_1_8a2a2b888b.txt,1,periods of system stress in the region in summer 2024 southeast europe experienced a sustained period of electricity price spikes acer sets out recommendations to increase cross-zonal capacity and system flexibility across the region read more trg republike 3 1000 ljubljana slovenia tel 386 0 8 205 34 00 info at acer europa eu quick links remit portal procurement calls public consultations data exchange platform for stakeholders information about the agency work with us electricity gas remit dat,"26 [1], [2]; NEURC, 2026 [3]; JSC Market Operator, 2026 [4]; Ministry of Economy of Ukraine, 2024 [5], [6]). Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [9]; Li et al., 2024 [10]).",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
9,9,Hu et al. Potential utilization of battery energy storage systems (BESS) in the major European electricity markets. DOI: 10.1016/j.apenergy.2022.119512. https://doi.org/10.1016/j.apenergy.2022.119512,docs\thesis\sources\2112.09816v2.pdf,0.6378,docs\thesis\sources\2112.09816v2.pdf,1,work should be elaborated by exploring novel market and service designs that adequately and appropriately address the flexibility provided by different technologies including the batteries this paper focuses on evaluating a nd comparing the potential utilization of bess in the european electricity markets it should be noted that historical information has been applied to study and understand the characteristics of the selected markets indeed for quantitatively access ing the project value and fe,"не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [9]; Li et al., 2024 [10]).",supported,strong multilingual semantic match in cited source candidate
10,10,Li et al. Temporal-Aware Deep Reinforcement Learning for Energy Storage Bidding in Energy and Contingency Reserve Markets. DOI: 10.1109/TEMPR.2024.3372656. https://doi.org/10.1109/TEMPR.2024.3372656,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_10_1_1c65c189fe.txt,0.3151,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_10_1_1c65c189fe.txt,1,temporal-aware deep reinforcement learning for energy storage bidding in energy and contingency reserve markets ieee journals magazine ieee xplore ieee account change username password update address purchase details payment options order history view purchased documents profile information communications preferences profession and education technical interests need help us canada 1 800 678 4333 worldwide 1 732 981 0060 contact support about ieee xplore contact us help accessibility terms of use,"amp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [7]; ACER, 2025 [8]). Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [9]; Li et al., 2024 [10]).",needs-human,"low semantic match; broad/governance citation, landing page, or incomplete full text"
