source_number,line,entry,clickable_urls,bare_urls,doi,arxiv_ids,url_statuses,metadata_titles,metadata_notes,title_overlap,issues
1,115,Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. [https://arxiv.org/abs/2505.01551](https://arxiv.org/abs/2505.01551),https://arxiv.org/abs/2505.01551,,10.48550/arXiv.2505.01551,2505.01551,200 https://arxiv.org/abs/2505.01551 -> https://arxiv.org/abs/2505.01551,A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage,doi:10.48550/arXiv.2505.01551:crossref_http_404 | arxiv:2505.01551:2025,1.000,
2,116,Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI: 10.1016/j.ijforecast.2022.03.001. [https://arxiv.org/abs/2104.05522](https://arxiv.org/abs/2104.05522),https://arxiv.org/abs/2104.05522,,10.1016/j.ijforecast.2022.03.001,2104.05522,200 https://arxiv.org/abs/2104.05522 -> https://arxiv.org/abs/2104.05522,Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx,doi:10.1016/j.ijforecast.2022.03.001:2023,1.000,
3,117,Jiang et al. Probabilistic electricity price forecasting based on penalized temporal fusion transformer. DOI: 10.1002/for.3084. [https://doi.org/10.1002/for.3084](https://doi.org/10.1002/for.3084),https://doi.org/10.1002/for.3084,,10.1002/for.3084 | 10.1002/for.3084 | 10.1002/for.3084,,403 https://doi.org/10.1002/for.3084 -> https://onlinelibrary.wiley.com/doi/10.1002/for.3084,Probabilistic electricity price forecasting based on penalized temporal fusion transformer,doi:10.1002/for.3084:2024,1.000,
4,118,"Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. [https://doi.org/10.1287/mnsc.2020.3922](https://doi.org/10.1287/mnsc.2020.3922)",https://doi.org/10.1287/mnsc.2020.3922,,10.1287/mnsc.2020.3922 | 10.1287/mnsc.2020.3922 | 10.1287/mnsc.2020.3922,,403 https://doi.org/10.1287/mnsc.2020.3922 -> https://pubsonline.informs.org/doi/10.1287/mnsc.2020.3922,"Smart “Predict, then Optimize”",doi:10.1287/mnsc.2020.3922:2022,1.000,
5,119,"Grimaldi et al. Profitability of energy arbitrage net profit for grid-scale battery energy storage considering dynamic efficiency and degradation using a linear, mixed-integer linear, and mixed-integer non-linear optimization approach. DOI: 10.1016/j.est.2024.112380. [https://doi.org/10.1016/j.est.2024.112380](https://doi.org/10.1016/j.est.2024.112380)",https://doi.org/10.1016/j.est.2024.112380,,10.1016/j.est.2024.112380 | 10.1016/j.est.2024.112380 | 10.1016/j.est.2024.112380,,200 https://doi.org/10.1016/j.est.2024.112380 -> https://linkinghub.elsevier.com/retrieve/pii/S2352152X24019662,"Profitability of energy arbitrage net profit for grid-scale battery energy storage considering dynamic efficiency and degradation using a linear, mixed-integer linear, and mixed-integer non-linear optimization approach",doi:10.1016/j.est.2024.112380:2024,1.000,
6,120,Lim et al. Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting. DOI: 10.48550/arXiv.1912.09363. [https://arxiv.org/abs/1912.09363](https://arxiv.org/abs/1912.09363),https://arxiv.org/abs/1912.09363,,10.48550/arXiv.1912.09363,1912.09363,200 https://arxiv.org/abs/1912.09363 -> https://arxiv.org/abs/1912.09363,Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting,doi:10.48550/arXiv.1912.09363:crossref_http_404 | arxiv:1912.09363:2019,1.000,
7,121,Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. [https://arxiv.org/abs/2106.01345](https://arxiv.org/abs/2106.01345),https://arxiv.org/abs/2106.01345,,10.48550/arXiv.2106.01345,2106.01345,200 https://arxiv.org/abs/2106.01345 -> https://arxiv.org/abs/2106.01345,Decision Transformer: Reinforcement Learning via Sequence Modeling,doi:10.48550/arXiv.2106.01345:crossref_http_404 | arxiv:2106.01345:2021,1.000,
8,122,Agrawal et al. Differentiable Convex Optimization Layers. DOI: 10.48550/arXiv.1910.12430. [https://arxiv.org/abs/1910.12430](https://arxiv.org/abs/1910.12430),https://arxiv.org/abs/1910.12430,,10.48550/arXiv.1910.12430,1910.12430,200 https://arxiv.org/abs/1910.12430 -> https://arxiv.org/abs/1910.12430,Differentiable Convex Optimization Layers,doi:10.48550/arXiv.1910.12430:crossref_http_404 | arxiv:1910.12430:2019,1.000,
9,123,Vykhodtsev et al. A review of modelling approaches to characterize lithium-ion battery energy storage systems in techno-economic analyses of power systems. DOI: 10.1016/j.rser.2022.112584. [https://doi.org/10.1016/j.rser.2022.112584](https://doi.org/10.1016/j.rser.2022.112584),https://doi.org/10.1016/j.rser.2022.112584,,10.1016/j.rser.2022.112584 | 10.1016/j.rser.2022.112584 | 10.1016/j.rser.2022.112584,,200 https://doi.org/10.1016/j.rser.2022.112584 -> https://linkinghub.elsevier.com/retrieve/pii/S1364032122004804,A review of modelling approaches to characterize lithium-ion battery energy storage systems in techno-economic analyses of power systems,doi:10.1016/j.rser.2022.112584:2022,1.000,
10,124,Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. [https://doi.org/10.3390/en12060999](https://doi.org/10.3390/en12060999),https://doi.org/10.3390/en12060999,,10.3390/en12060999 | 10.3390/en12060999 | 10.3390/en12060999,,403 https://doi.org/10.3390/en12060999 -> https://www.mdpi.com/1996-1073/12/6/999,Ageing and Efficiency Aware Battery Dispatch for Arbitrage Markets Using Mixed Integer Linear Programming †,doi:10.3390/en12060999:2019,1.000,
