target_id,target_path,target_line,source_id,source_path,source_line,method,score,exact_shared_shingles,target_preview,source_preview
2135478ab4f10eca,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,91fd2972fa18bc10,docs\thesis\weekly-reports\week1\report.md,1,exact_shingle,0.8667,91,1. Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551 2. Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI:,decision-focused predict-then-bid framework for energy storage arbitrage doi 10 48550 arxiv 2505 01551 2 olivares et al neural basis expansion analysis with exogenous variables forecasting electricity prices with nbeatsx doi 10 1016 j ijforecast 2022 03 001 3 jiang et al probabil
b77660dceba2f2d3,docs\thesis\chapters\02-literature-review.md,115,e9a145c2b2a0e7c9,docs\thesis\weekly-reports\week1\report-week1.md,1,exact_shingle,0.8088,55,"1. <a id=""source-1""></a>Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. [https://arxiv.org/abs/2505.01551](https://arxiv.org/abs/2505.01551) 2. <a id=""source-2""></a>Olivares et al. Neural basis expansion analys",readme md interactive_report1 readme md docs thesis weekly-reports week1 interactive_report1 slides marp md interactive_report1 slides marp md перший пакет розділів пояснювальної записки docs thesis chapters 01-project-overview md chapters 01-project-overview md docs thesis chapt
b77660dceba2f2d3,docs\thesis\chapters\02-literature-review.md,115,91fd2972fa18bc10,docs\thesis\weekly-reports\week1\report.md,1,exact_shingle,0.8088,55,"1. <a id=""source-1""></a>Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. [https://arxiv.org/abs/2505.01551](https://arxiv.org/abs/2505.01551) 2. <a id=""source-2""></a>Olivares et al. Neural basis expansion analys",decision-focused predict-then-bid framework for energy storage arbitrage doi 10 48550 arxiv 2505 01551 2 olivares et al neural basis expansion analysis with exogenous variables forecasting electricity prices with nbeatsx doi 10 1016 j ijforecast 2022 03 001 3 jiang et al probabil
2135478ab4f10eca,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,91fd2972fa18bc10,docs\thesis\weekly-reports\week1\report.md,1,tfidf_char,0.7681,0,1. Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551 2. Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI:,decision-focused predict-then-bid framework for energy storage arbitrage doi 10 48550 arxiv 2505 01551 2 olivares et al neural basis expansion analysis with exogenous variables forecasting electricity prices with nbeatsx doi 10 1016 j ijforecast 2022 03 001 3 jiang et al probabil
2135478ab4f10eca,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,e9a145c2b2a0e7c9,docs\thesis\weekly-reports\week1\report-week1.md,1,exact_shingle,0.7238,76,1. Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551 2. Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI:,readme md interactive_report1 readme md docs thesis weekly-reports week1 interactive_report1 slides marp md interactive_report1 slides marp md перший пакет розділів пояснювальної записки docs thesis chapters 01-project-overview md chapters 01-project-overview md docs thesis chapt
b77660dceba2f2d3,docs\thesis\chapters\02-literature-review.md,115,a1a743b3149bf797,docs\thesis\weekly-reports\week1\report.md,1,exact_shingle,0.6471,44,"1. <a id=""source-1""></a>Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. [https://arxiv.org/abs/2505.01551](https://arxiv.org/abs/2505.01551) 2. <a id=""source-2""></a>Olivares et al. Neural basis expansion analys",md report md docs thesis weekly-reports week1 supervisor-summary md supervisor-summary md docs thesis weekly-reports week1 presentation-script md presentation-script md docs thesis weekly-reports week1 supervisor-message md supervisor-message md docs thesis weekly-reports week1 i
2135478ab4f10eca,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,c1a11cf7c6d052a4,docs\thesis\weekly-reports\week1\report-week1.md,1,tfidf_char,0.6318,0,1. Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551 2. Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI:,j ijforecast 2022 03 001 3 jiang et al probabilistic electricity price forecasting based on penalized temporal fusion transformer doi 10 1002 for 3084 4 elmachtoub and grigas smart predict then optimize doi 10 1287 mnsc 2020 3922 5 grimaldi et al profitability of energy arbitrage
2135478ab4f10eca,analysis_outputs\thesis_similarity\google_doc_export_2026-05-26-current.txt,284,c1a11cf7c6d052a4,docs\thesis\weekly-reports\week1\report-week1.md,1,exact_shingle,0.6286,66,1. Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551 2. Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI:,j ijforecast 2022 03 001 3 jiang et al probabilistic electricity price forecasting based on penalized temporal fusion transformer doi 10 1002 for 3084 4 elmachtoub and grigas smart predict then optimize doi 10 1287 mnsc 2020 3922 5 grimaldi et al profitability of energy arbitrage
4958f46bcc79fca7,docs\thesis\chapters\02-literature-review.md,115,c1a11cf7c6d052a4,docs\thesis\weekly-reports\week1\report-week1.md,1,exact_shingle,0.5068,37,"Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. [https://doi.org/10.1287/mnsc.2020.3922](https://doi.org/10.1287/mnsc.2020.3922) 5. <a id=""source-5""></a>Grimaldi et al. Profitability of energy arbitrage net profit for grid-scale battery energy storage considering dynamic ef",j ijforecast 2022 03 001 3 jiang et al probabilistic electricity price forecasting based on penalized temporal fusion transformer doi 10 1002 for 3084 4 elmachtoub and grigas smart predict then optimize doi 10 1287 mnsc 2020 3922 5 grimaldi et al profitability of energy arbitrage
4958f46bcc79fca7,docs\thesis\chapters\02-literature-review.md,115,91fd2972fa18bc10,docs\thesis\weekly-reports\week1\report.md,1,exact_shingle,0.5068,37,"Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. [https://doi.org/10.1287/mnsc.2020.3922](https://doi.org/10.1287/mnsc.2020.3922) 5. <a id=""source-5""></a>Grimaldi et al. Profitability of energy arbitrage net profit for grid-scale battery energy storage considering dynamic ef",decision-focused predict-then-bid framework for energy storage arbitrage doi 10 48550 arxiv 2505 01551 2 olivares et al neural basis expansion analysis with exogenous variables forecasting electricity prices with nbeatsx doi 10 1016 j ijforecast 2022 03 001 3 jiang et al probabil
