"source","entry","url_count","doi_label_count","link_verdicts","metadata_verdict","notes"
"1","European Commission. Electricity market design. https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"2","European Commission. EU electricity trading in the day-ahead markets becomes more dynamic. https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"3","NEURC. Resolution No. 621 of 23 April 2026 on price caps for the day-ahead, intraday, and balancing markets. https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"4","JSC Market Operator. The Market Operator tariff for 2026 amounts to UAH 6.88 per MWh. https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"5","Ministry of Economy of Ukraine. The Government approved the National Energy and Climate Plan until 2030. https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"6","Ukraine National Energy and Climate Plan to 2030. https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"7","ENTSO-E. Continental Europe successful synchronization with Ukraine and Moldova power systems. https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"8","ACER. ACER will decide on the electricity market coupling integration plan for the Energy Community. https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","1","0","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"9","Hu et al. Potential utilization of battery energy storage systems (BESS) in the major European electricity markets. DOI: 10.1016/j.apenergy.2022.119512. https://doi.org/10.1016/j.apenergy.2022.119512","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"10","Li et al. Temporal-Aware Deep Reinforcement Learning for Energy Storage Bidding in Energy and Contingency Reserve Markets. DOI: 10.1109/TEMPR.2024.3372656. https://doi.org/10.1109/TEMPR.2024.3372656","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"11","Lago et al. Forecasting day-ahead electricity prices: A review of state-of-the-art algorithms, best practices and an open-access benchmark. DOI: 10.1016/j.apenergy.2021.116983. https://doi.org/10.1016/j.apenergy.2021.116983","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"12","Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. https://doi.org/10.1287/mnsc.2020.3922","1","1","needs-human","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit. Automated link checker reaches the DOI redirect target but publisher blocks bot access with 403; metadata remains DOI-consistent."
"13","Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. https://doi.org/10.1109/TSG.2022.3166791","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"14","Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. https://arxiv.org/abs/2307.13565","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
"15","Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI: 10.1016/j.ijforecast.2022.03.001. https://arxiv.org/abs/2104.05522","1","1","ok","pass","Source title/identifier/URL are consistent with current bibliography and previous source-metadata audit."
