"mention_index","source","citation","claim_context","source_entry","support_verdict","action","notes"
"1","1","[[1]](#source-1)","Ринок на добу наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [[1]](#source-1), [[2]](#source-2); NEURC, 2026 [[3]](#source-3); JSC Market Operator, 2026 [[4]](#source-4); Ministry of Economy of Ukraine, 2024 [[5]](#source-5), [[6]](#source-6)).","European Commission. Electricity market design. https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"2","2","[[2]](#source-2)","Ринок на добу наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [[1]](#source-1), [[2]](#source-2); NEURC, 2026 [[3]](#source-3); JSC Market Operator, 2026 [[4]](#source-4); Ministry of Economy of Ukraine, 2024 [[5]](#source-5), [[6]](#source-6)).","European Commission. EU electricity trading in the day-ahead markets becomes more dynamic. https://energy.ec.europa.eu/news/eu-electricity-trading-day-ahead-markets-becomes-more-dynamic-2025-10-01_en","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"3","3","[[3]](#source-3)","Ринок на добу наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [[1]](#source-1), [[2]](#source-2); NEURC, 2026 [[3]](#source-3); JSC Market Operator, 2026 [[4]](#source-4); Ministry of Economy of Ukraine, 2024 [[5]](#source-5), [[6]](#source-6)).","NEURC. Resolution No. 621 of 23 April 2026 on price caps for the day-ahead, intraday, and balancing markets. https://www.nerc.gov.ua/acts/pro-hranychni-tsiny-na-rynku-na-dobu-napered-vnutrishnodobovomu-rynku-ta-balansuiuchomu-rynku","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"4","4","[[4]](#source-4)","Ринок на добу наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [[1]](#source-1), [[2]](#source-2); NEURC, 2026 [[3]](#source-3); JSC Market Operator, 2026 [[4]](#source-4); Ministry of Economy of Ukraine, 2024 [[5]](#source-5), [[6]](#source-6)).","JSC Market Operator. The Market Operator tariff for 2026 amounts to UAH 6.88 per MWh. https://www.oree.com.ua/index.php/newsctr/n/30795?lang=english","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"5","5","[[5]](#source-5)","Ринок на добу наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [[1]](#source-1), [[2]](#source-2); NEURC, 2026 [[3]](#source-3); JSC Market Operator, 2026 [[4]](#source-4); Ministry of Economy of Ukraine, 2024 [[5]](#source-5), [[6]](#source-6)).","Ministry of Economy of Ukraine. The Government approved the National Energy and Climate Plan until 2030. https://me.gov.ua/News/Detail?id=2642aff1-2328-4bad-b03f-6f0f7dc292c8&lang=uk-UA","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"6","6","[[6]](#source-6)","Ринок на добу наперед задає погодинні price signals, які можуть бути використані для планування заряду й розряду BESS. Для України така задача має практичну вагу через потребу в гнучкості, інтеграції відновлюваної генерації, локальному балансуванні та зменшенні вартості пікових годин. Ринкова специфіка описується не тільки загальноєвропейською логікою electricity market design, а й локальними правилами, price caps, тарифами та енергетичною політикою України (European Commission, 2026 [[1]](#source-1), [[2]](#source-2); NEURC, 2026 [[3]](#source-3); JSC Market Operator, 2026 [[4]](#source-4); Ministry of Economy of Ukraine, 2024 [[5]](#source-5), [[6]](#source-6)).","Ukraine National Energy and Climate Plan to 2030. https://me.gov.ua/download/2cad4803-661e-4ae9-9748-3006d6eb3e1c/file.pdf","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"7","7","[[7]](#source-7)","Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [[7]](#source-7); ACER, 2025 [[8]](#source-8)).","ENTSO-E. Continental Europe successful synchronization with Ukraine and Moldova power systems. https://www.entsoe.eu/news/2022/03/16/continental-europe-successful-synchronisation-with-ukraine-and-moldova-power-systems/","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"8","8","[[8]](#source-8)","Водночас академічна модель має обережну межу: наявність historical price rows не перетворює систему на контур подання заявок і не означає, що timestamp publication evidence вже готовий для market-executable сценаріїв. Ця межа узгоджується з європейським контекстом синхронізації та майбутнього market-coupling, але не підміняє український DAM evidence layer (ENTSO-E, 2022 [[7]](#source-7); ACER, 2025 [[8]](#source-8)).","ACER. ACER will decide on the electricity market coupling integration plan for the Energy Community. https://www.acer.europa.eu/news/acer-will-decide-electricity-market-coupling-integration-plan-energy-community","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"9","9","[[9]](#source-9)","Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [[9]](#source-9); Li et al., 2024 [[10]](#source-10)).","Hu et al. Potential utilization of battery energy storage systems (BESS) in the major European electricity markets. DOI: 10.1016/j.apenergy.2022.119512. https://doi.org/10.1016/j.apenergy.2022.119512","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"10","10","[[10]](#source-10)","Європейські роботи про BESS utilization, revenue stacking і energy/reserve bidding корисні як ширший market-design контекст, однак у роботі вони не використовуються як доказ готовності українського live execution (Hu et al., 2022 [[9]](#source-9); Li et al., 2024 [[10]](#source-10)).","Li et al. Temporal-Aware Deep Reinforcement Learning for Energy Storage Bidding in Energy and Contingency Reserve Markets. DOI: 10.1109/TEMPR.2024.3372656. https://doi.org/10.1109/TEMPR.2024.3372656","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
